Guido Noto La Diega,https://scholar.google.com/citations?user=B3U7yvcAAAAJ&hl=it,True
Rossana Ducato,https://scholar.google.com/citations?user=JnkeH28AAAAJ&hl=it,True
Martin Kretschmer,https://scholar.google.co.uk/citations?user=sbcJOSoAAAAJ&hl=en,True
Marta Iljadica,https://scholar.google.co.uk/citations?user=JXTpQXIAAAAJ&hl=en,True
Israel Cedillo Lazcano,https://scholar.google.com.mx/citations?user=SPrHADoAAAAJ&hl=en,True
Dr Lachlan Urquhart,https://scholar.google.co.uk/citations?user=o2gCskMAAAAJ&hl=en,True
Mariela de Amstalden,https://scholar.google.ch/citations?user=IoKBsjcAAAAJ&hl=en,True
Jade Kouletakis,https://scholar.google.com/citations?user=uE1oO1gAAAAJ&hl=en,True
Irene Couzigou, PhD, LLM,https://scholar.google.com/citations?user=vNvRYksAAAAJ&hl=en,True
Patricia Živković,https://scholar.google.com/citations?user=wIFFAosAAAAJ&hl=en,True
Dafouz Milne, Emma,https://scholar.google.co.uk/citations?user=iStd81MAAAAJ&hl=en,True
C William R Webster,https://scholar.google.co.uk/citations?user=mdypkb4AAAAJ&hl=en,True
Péter Cserne,https://scholar.google.com/citations?user=qlvq1lwAAAAJ&hl=en,True
Dr Mo Egan,https://scholar.google.co.uk/citations?user=6o0j57EAAAAJ&hl=en,True
Lilian Edwards,https://scholar.google.com/citations?user=a6-onLoAAAAJ&hl=en,True
Matthew Jewell,https://scholar.google.co.uk/citations?user=OkUv-F4AAAAJ&hl=en,True
Dominik Ziegler,https://scholar.google.co.uk/citations?user=9L-xODcAAAAJ&hl=en,True
Gianluca Andresani,https://scholar.google.com/citations?user=poIiHR0AAAAJ&hl=en,True
Burkhard Schafer,https://scholar.google.com/citations?user=vD2DRqoAAAAJ&hl=en,True
Paolo Cavaliere,https://scholar.google.com/citations?user=HOYJ86sAAAAJ&hl=en,True
